Altium Designer Pick and Place Locations
G:\Altium\PCB Layout案子\USB3.0 HUB\USB3.0 HUB-Prj\Project Outputs for USB3.0 HUB-Prj\Pick Place for USB HUB3.0-PCB.txt

========================================================================================================================
File Design Information:

Date:       15/12/19
Time:       13:09
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment          Layer       Footprint      Center-X(mil) Center-Y(mil) Rotation Description              
JA1        DC_JACK          TopLayer    DC_005         3693.000mil   4547.835mil   270      5V/9V电源座                 
Y1         25MHz            TopLayer    0SC-3225_4     5084.921mil   3170.000mil   90       晶振                       
USB5       USB3.0-A         TopLayer    USB3.0-A       5689.842mil   4244.370mil   90       ""                       
USB4       USB3.0-A         TopLayer    USB3.0-A       5684.842mil   3204.370mil   90       ""                       
USB3       USB3.0-A         TopLayer    USB3.0-A       5280.630mil   2340.157mil   360      ""                       
USB2       USB3.0-A         TopLayer    USB3.0-A       3996.339mil   2338.898mil   360      ""                       
USB1       USB3.0-B         TopLayer    USB3.0-B       4879.905mil   4422.378mil   180      ""                       
U4         G547E2P11U       TopLayer    SOP8           4090.000mil   4125.000mil   270      MOS管开关芯片                 
U3         MX25L512COI-12G  TopLayer    SOIC8          4390.079mil   4126.890mil   270      Flash                    
U2         FP6809-29NS3G    TopLayer    SOT23          4247.598mil   3399.567mil   360      微处理器复位芯片                 
U1         VL812(B1)_QFN76  TopLayer    QFN76-0.4_9*9  4722.165mil   3460.236mil   180      "USB 3.0 HUB Controller" 
TP4        TESTPOINT        TopLayer    TP             4445.000mil   3540.000mil   270      测试点                      
TP3        TESTPOINT        TopLayer    TP             4445.000mil   3465.000mil   270      测试点                      
TP2        TESTPOINT        TopLayer    TP             4490.000mil   3315.000mil   270      测试点                      
TP1        TESTPOINT        TopLayer    TP             4490.000mil   3245.000mil   270      测试点                      
R19        10K              TopLayer    R0402          3626.653mil   3540.000mil   180      电阻                       
R18        5.1K             TopLayer    R0402          3626.653mil   3595.000mil   360      电阻                       
R17        4.7K             TopLayer    R0402          3785.000mil   4005.000mil   270      电阻                       
R16        4.7K             TopLayer    R0402          3785.000mil   3906.653mil   270      电阻                       
R15        10K              TopLayer    R0402          3840.000mil   4006.653mil   270      电阻                       
R14        4.7K             TopLayer    R0402          3730.000mil   3905.000mil   90       电阻                       
R13        10K              TopLayer    R0402          4015.000mil   3898.347mil   270      电阻                       
R12        680R             TopLayer    R0402          5738.346mil   4635.000mil   360      电阻                       
R11        680R             TopLayer    R0402          5733.346mil   3595.000mil   360      电阻                       
